Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung,Bemerkung,stimme
20,115,4,Fraktionslos,Helferich,Matthias,,0,1,0,0,0,Matthias Helferich,,nein
20,115,4,Fraktionslos,Huber,Johannes,,1,0,0,0,0,Johannes Huber,,ja
20,115,4,Fraktionslos,Seidler,Stefan,,0,0,1,0,0,Stefan Seidler,,Enthaltung
20,115,4,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,116,1,Fraktionslos,Cotar,Joana,,0,0,0,0,1,Joana Cotar,,nichtabgegeben
20,116,1,Fraktionslos,Farle,Robert,,0,1,0,0,0,Robert Farle,,nein
20,116,1,Fraktionslos,Helferich,Matthias,,0,0,0,0,1,Matthias Helferich,,nichtabgegeben
20,116,1,Fraktionslos,Huber,Johannes,,0,0,1,0,0,Johannes Huber,,Enthaltung
20,116,1,Fraktionslos,Seidler,Stefan,,0,1,0,0,0,Stefan Seidler,,nein
20,116,1,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,120,1,Fraktionslos,Cotar,Joana,,0,1,0,0,0,Joana Cotar,,nein
20,120,1,Fraktionslos,Farle,Robert,,0,1,0,0,0,Robert Farle,,nein
20,120,1,Fraktionslos,Helferich,Matthias,,0,1,0,0,0,Matthias Helferich,,nein
20,120,1,Fraktionslos,Huber,Johannes,,0,1,0,0,0,Johannes Huber,,nein
20,120,1,Fraktionslos,Seidler,Stefan,,1,0,0,0,0,Stefan Seidler,,ja
20,120,1,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,120,2,Fraktionslos,Cotar,Joana,,1,0,0,0,0,Joana Cotar,,ja
20,120,2,Fraktionslos,Farle,Robert,,1,0,0,0,0,Robert Farle,,ja
20,120,2,Fraktionslos,Helferich,Matthias,,1,0,0,0,0,Matthias Helferich,,ja
20,120,2,Fraktionslos,Huber,Johannes,,1,0,0,0,0,Johannes Huber,,ja
20,120,2,Fraktionslos,Seidler,Stefan,,0,0,1,0,0,Stefan Seidler,,Enthaltung
20,120,2,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,121,1,Fraktionslos,Cotar,Joana,,0,0,0,0,1,Joana Cotar,,nichtabgegeben
20,121,1,Fraktionslos,Farle,Robert,,1,0,0,0,0,Robert Farle,,ja
20,121,1,Fraktionslos,Helferich,Matthias,,1,0,0,0,0,Matthias Helferich,,ja
20,121,1,Fraktionslos,Huber,Johannes,,1,0,0,0,0,Johannes Huber,,ja
20,121,1,Fraktionslos,Seidler,Stefan,,0,1,0,0,0,Stefan Seidler,,nein
20,121,1,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,122,1,Fraktionslos,Cotar,Joana,,0,0,0,0,1,Joana Cotar,,nichtabgegeben
20,122,1,Fraktionslos,Farle,Robert,,1,0,0,0,0,Robert Farle,,ja
20,122,1,Fraktionslos,Helferich,Matthias,,1,0,0,0,0,Matthias Helferich,,ja
20,122,1,Fraktionslos,Huber,Johannes,,1,0,0,0,0,Johannes Huber,,ja
20,122,1,Fraktionslos,Seidler,Stefan,,0,0,1,0,0,Stefan Seidler,,Enthaltung
20,122,1,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,122,2,Fraktionslos,Cotar,Joana,,0,0,0,0,1,Joana Cotar,,nichtabgegeben
20,122,2,Fraktionslos,Farle,Robert,,1,0,0,0,0,Robert Farle,,ja
20,122,2,Fraktionslos,Helferich,Matthias,,1,0,0,0,0,Matthias Helferich,,ja
20,122,2,Fraktionslos,Huber,Johannes,,1,0,0,0,0,Johannes Huber,,ja
20,122,2,Fraktionslos,Seidler,Stefan,,1,0,0,0,0,Stefan Seidler,,ja
20,122,2,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,125,1,Fraktionslos,Cotar,Joana,,0,1,0,0,0,Joana Cotar,,nein
20,125,1,Fraktionslos,Farle,Robert,,0,1,0,0,0,Robert Farle,,nein
20,125,1,Fraktionslos,Helferich,Matthias,,0,1,0,0,0,Matthias Helferich,,nein
20,125,1,Fraktionslos,Huber,Johannes,,0,1,0,0,0,Johannes Huber,,nein
20,125,1,Fraktionslos,Seidler,Stefan,,1,0,0,0,0,Stefan Seidler,,ja
20,125,1,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,130,1,Fraktionslos,Cotar,Joana,,0,1,0,0,0,Joana Cotar,,nein
20,130,1,Fraktionslos,Farle,Robert,,0,1,0,0,0,Robert Farle,,nein
20,130,1,Fraktionslos,Helferich,Matthias,,0,1,0,0,0,Matthias Helferich,,nein
20,130,1,Fraktionslos,Huber,Johannes,,0,1,0,0,0,Johannes Huber,,nein
20,130,1,Fraktionslos,Seidler,Stefan,,1,0,0,0,0,Stefan Seidler,,ja
20,130,1,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,132,1,Fraktionslos,Cotar,Joana,,0,0,0,0,1,Joana Cotar,,nichtabgegeben
20,132,1,Fraktionslos,Farle,Robert,,0,0,0,0,1,Robert Farle,,nichtabgegeben
20,132,1,Fraktionslos,Helferich,Matthias,,0,1,0,0,0,Matthias Helferich,,nein
20,132,1,Fraktionslos,Huber,Johannes,,0,1,0,0,0,Johannes Huber,,nein
20,132,1,Fraktionslos,Seidler,Stefan,,1,0,0,0,0,Stefan Seidler,,ja
20,132,1,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,135,1,Fraktionslos,Cotar,Joana,,0,1,0,0,0,Joana Cotar,,nein
20,135,1,Fraktionslos,Farle,Robert,,0,1,0,0,0,Robert Farle,,nein
20,135,1,Fraktionslos,Helferich,Matthias,,0,1,0,0,0,Matthias Helferich,,nein
20,135,1,Fraktionslos,Huber,Johannes,,0,1,0,0,0,Johannes Huber,,nein
20,135,1,Fraktionslos,Seidler,Stefan,,0,1,0,0,0,Stefan Seidler,,nein
20,135,1,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,135,2,Fraktionslos,Cotar,Joana,,1,0,0,0,0,Joana Cotar,,ja
20,135,2,Fraktionslos,Farle,Robert,,1,0,0,0,0,Robert Farle,,ja
20,135,2,Fraktionslos,Helferich,Matthias,,1,0,0,0,0,Matthias Helferich,,ja
20,135,2,Fraktionslos,Huber,Johannes,,1,0,0,0,0,Johannes Huber,,ja
20,135,2,Fraktionslos,Seidler,Stefan,,0,1,0,0,0,Stefan Seidler,,nein
20,135,2,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,135,3,Fraktionslos,Cotar,Joana,,1,0,0,0,0,Joana Cotar,,ja
20,135,3,Fraktionslos,Farle,Robert,,1,0,0,0,0,Robert Farle,,ja
20,135,3,Fraktionslos,Helferich,Matthias,,1,0,0,0,0,Matthias Helferich,,ja
20,135,3,Fraktionslos,Huber,Johannes,,1,0,0,0,0,Johannes Huber,,ja
20,135,3,Fraktionslos,Seidler,Stefan,,0,1,0,0,0,Stefan Seidler,,nein
20,135,3,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,137,1,Fraktionslos,Cotar,Joana,,1,0,0,0,0,Joana Cotar,,ja
20,137,1,Fraktionslos,Farle,Robert,,1,0,0,0,0,Robert Farle,,ja
20,137,1,Fraktionslos,Helferich,Matthias,,1,0,0,0,0,Matthias Helferich,,ja
20,137,1,Fraktionslos,Huber,Johannes,,1,0,0,0,0,Johannes Huber,,ja
